,Diabolo-RX,Diabolo-RY,Diabolo-RZ,Diabolo-RW,Diabolo-TX,Diabolo-TY,Diabolo-TZ,stick_left-RX,stick_left-RY,stick_left-RZ,stick_left-RW,stick_left-TX,stick_left-TY,stick_left-TZ,stick_right-RX,stick_right-RY,stick_right-RZ,stick_right-RW,stick_right-TX,stick_right-TY,stick_right-TZ
368,-0.440756,-0.58414,0.052432,-0.679533,0.0,0.0,0.0,-0.181852,0.746521,0.629156,-0.117473,-0.436059845,0.705338135,1.006091003,-0.569977,-0.20275,0.185526,0.774338,-0.325519989,0.811220886,1.298116699
369,-0.515882,-0.509483,-0.055058,-0.686485,0.0,0.0,0.0,-0.181781,0.747636,0.627751,-0.118001,-0.435738739,0.7051407470000001,1.004818787,-0.564096,-0.203274,0.186665,0.778223,-0.325375214,0.810695251,1.302317749
370,-0.580435,-0.426523,-0.157779,-0.675484,0.0,0.0,0.0,-0.183041,0.747028,0.628079,-0.118158,-0.43547375499999996,0.7048081049999999,1.004164124,-0.564192,-0.203781,0.18604,0.778171,-0.32496295199999997,0.810687317,1.3046392820000001
371,-0.635054,-0.331773,-0.255484,-0.649124,0.0,0.0,0.0,-0.183349,0.748825,0.626265,-0.115913,-0.43472720299999995,0.7048235469999999,1.0027339480000002,-0.560756,-0.204364,0.18636,0.780422,-0.324689423,0.8103493039999999,1.308079102
372,-0.681182,-0.232483,-0.344945,-0.602459,0.0,0.0,0.0,-0.184255,0.749768,0.62479,-0.116343,-0.434545197,0.704570068,1.001560913,-0.554634,-0.204893,0.187501,0.784375,-0.324513123,0.8096924440000001,1.312375366
373,-0.704263,-0.118965,-0.43009,-0.552163,0.0,0.0,0.0,-0.185538,0.749004,0.625393,-0.115984,-0.43415295400000004,0.704253784,1.001028687,-0.554729,-0.20568,0.186562,0.784326,-0.324049774,0.809692505,1.314689697
374,-0.71712,-0.018508,-0.505314,-0.479639,0.0,0.0,0.0,-0.186615,0.749812,0.624389,-0.114431,-0.43372103900000003,0.7041369630000001,1.000000244,-0.551012,-0.20701,0.186225,0.786672,-0.323740143,0.809240662,1.318045288
375,-0.709855,0.088618,-0.571996,-0.401339,0.0,0.0,0.0,-0.186492,0.752918,0.620961,-0.112887,-0.432994812,0.703983276,0.9982476809999999,-0.548262,-0.206478,0.187144,0.788513,-0.323357483,0.8089198,1.3215107419999998
376,-0.682924,0.186226,-0.633027,-0.313387,0.0,0.0,0.0,-0.188225,0.752089,0.62155,-0.112292,-0.43277090500000004,0.703869873,0.997852173,-0.541824,-0.207193,0.188035,0.792554,-0.323150024,0.808150085,1.325883789
377,-0.65611,0.297218,-0.658009,-0.219558,0.0,0.0,0.0,-0.190191,0.753477,0.619437,-0.111346,-0.432383118,0.7033656620000001,0.9964021000000001,-0.541785,-0.209434,0.186236,0.792416,-0.322793701,0.8080275880000001,1.3279616699999999
